,Name,SemGrep_Failures,SNYK_Issues
112,AaronCarneiro-recommended-frontend-extensions-0.1.0.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
113,weijunyu-vscode-json-path-2.4.0.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
","Tested 19 dependencies for known issues, found 1 issue, 1 vulnerable path.
"
114,MS-vsliveshare-vsliveshare-audio-0.1.93.txt,"<testsuites disabled=""0"" errors=""0"" failures=""19"" tests=""19"" time=""0.0"">
","Tested 150 dependencies for known issues, found 14 issues, 23 vulnerable paths.
"
115,bhshawon-node-json-autocomplete-0.1.3.txt,"<testsuites disabled=""0"" errors=""0"" failures=""7"" tests=""7"" time=""0.0"">
","Tested 2 dependencies for known issues, found 7 issues, 7 vulnerable paths.
"
116,local-smart-excel-live-server-4.0.26.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
117,manhen-latex-workshop-2-9.0.1.txt,"<testsuites disabled=""0"" errors=""0"" failures=""28"" tests=""28"" time=""0.0"">
",
118,igordvlpr-open-in-browser-1.0.2.txt,"<testsuites disabled=""0"" errors=""0"" failures=""4"" tests=""4"" time=""0.0"">
","Tested 8 dependencies for known issues, found 1 issue, 1 vulnerable path.
"
119,thebearingedge-livereload-server-0.2.6.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
120,teddylun-json-utils-1.0.8.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
121,negokaz-live-server-preview-0.1.4.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
","Tested 229 dependencies for known issues, found 22 issues, 217 vulnerable paths.
"
122,gitduck-code-streaming-0.4.11.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
123,profimedica-live-preview-0.0.3.txt,"<testsuites disabled=""0"" errors=""0"" failures=""6"" tests=""6"" time=""0.0"">
",
124,Orta-vscode-ts-markdown-to-playground-1.1.0.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
125,zopu-open-in-other-group-0.1.0.txt,"<testsuites disabled=""0"" errors=""0"" failures=""0"" tests=""0"" time=""0.0"">
",
